"","siteID","longitude","latitude","condition","class","date","quadrant","transect_unit","species_code","species_name","percent_cover","height_cm","notes"
"1","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","E",1,"Berner","Berberis nervosa",1,NA,""
"2","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","E",1,"Gausha","Gaultheria shallon",85,85,""
"3","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","E",1,"Kinore","Kindbergia oregana",25,NA,""
"4","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","E",2,"Berner","Berberis nervosa",5,NA,""
"5","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","E",2,"Gausha","Gaultheria shallon",90,140,""
"6","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","E",2,"Kinore","Kindbergia oregana",17,NA,""
"7","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","E",2,"Pteaqu","Pteridium aquilinum",3,NA,""
"8","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","E",3,"Gausha","Gaultheria shallon",95,140,""
"9","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","E",3,"Kinore","Kindbergia oregana",10,NA,""
"10","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","E",4,"Gausha","Gaultheria shallon",90,110,""
"11","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","E",4,"Kinore","Kindbergia oregana",5,NA,""
"12","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","E",5,"Gausha","Gaultheria shallon",85,110,""
"13","Site-001",-123.5288578,48.81570987,"Closed-Dry","Closed-Dry","2022-06-21","E",5,"Kinore","Kindbergia oregana",5,NA,""
